locationtext,detectorid,starttime,volume,speed,length
Foster NB,1361,2011-09-22 01:45:20,0,,1.6
Foster NB,1361,2011-09-22 01:45:40,1,50,1.6
Foster NB,1361,2011-09-22 01:46:00,0,,1.6
Foster NB,1361,2011-09-22 01:46:20,0,,1.6
Foster NB,1361,2011-09-22 01:46:40,0,,1.6
Foster NB,1361,2011-09-22 01:47:00,0,,1.6
Foster NB,1361,2011-09-22 01:47:20,1,68,1.6
Foster NB,1361,2011-09-22 01:47:40,0,,1.6
Foster NB,1361,2011-09-22 01:48:00,1,50,1.6
Foster NB,1361,2011-09-22 01:48:20,0,,1.6
Foster NB,1361,2011-09-22 01:48:40,0,,1.6
Foster NB,1361,2011-09-22 01:49:00,0,,1.6
Foster NB,1361,2011-09-22 01:49:20,0,,1.6
Foster NB,1361,2011-09-22 01:49:40,1,64,1.6
Foster NB,1361,2011-09-22 01:50:00,0,,1.6
Foster NB,1361,2011-09-22 01:50:20,0,,1.6
Foster NB,1361,2011-09-22 01:50:40,0,,1.6
Foster NB,1361,2011-09-22 01:51:00,1,67,1.6
Foster NB,1361,2011-09-22 01:51:20,0,,1.6
Foster NB,1361,2011-09-22 01:51:40,1,50,1.6
Foster NB,1361,2011-09-22 01:52:00,0,,1.6
Foster NB,1361,2011-09-22 01:52:20,0,,1.6
Foster NB,1361,2011-09-22 01:52:40,0,,1.6
Foster NB,1361,2011-09-22 01:53:00,0,,1.6
Foster NB,1361,2011-09-22 01:53:20,0,,1.6
Foster NB,1361,2011-09-22 01:53:40,0,,1.6
Foster NB,1361,2011-09-22 01:54:00,1,68,1.6
Foster NB,1361,2011-09-22 01:54:20,0,,1.6
Foster NB,1361,2011-09-22 01:54:40,0,,1.6
Foster NB,1361,2011-09-22 01:55:00,0,,1.6
Foster NB,1361,2011-09-22 01:55:20,0,,1.6
Foster NB,1361,2011-09-22 01:55:40,0,,1.6
Foster NB,1361,2011-09-22 01:56:00,0,,1.6
Foster NB,1361,2011-09-22 01:56:20,0,,1.6
Foster NB,1361,2011-09-22 01:56:40,0,,1.6
Foster NB,1361,2011-09-22 01:57:00,0,,1.6
Foster NB,1361,2011-09-22 01:57:20,1,64,1.6
Foster NB,1361,2011-09-22 01:57:40,0,,1.6
Foster NB,1361,2011-09-22 01:58:00,0,,1.6
Foster NB,1361,2011-09-22 01:58:20,0,,1.6
Foster NB,1361,2011-09-22 01:58:40,2,68,1.6
Foster NB,1361,2011-09-22 01:59:00,1,64,1.6
Foster NB,1361,2011-09-22 01:59:20,0,,1.6
Foster NB,1361,2011-09-22 01:59:40,0,,1.6
Foster NB,1361,2011-09-22 02:00:00,0,,1.6
Foster NB,1361,2011-09-22 02:00:20,0,,1.6
Foster NB,1361,2011-09-22 02:00:40,0,,1.6
Foster NB,1361,2011-09-22 02:01:00,0,,1.6
Foster NB,1361,2011-09-22 02:01:20,0,,1.6
Foster NB,1361,2011-09-22 02:01:40,0,,1.6
Foster NB,1361,2011-09-22 02:02:00,0,,1.6
Foster NB,1361,2011-09-22 02:02:20,0,,1.6
Foster NB,1361,2011-09-22 02:02:40,1,64,1.6
Foster NB,1361,2011-09-22 02:03:00,1,50,1.6
Foster NB,1361,2011-09-22 02:03:20,0,,1.6
Foster NB,1361,2011-09-22 02:03:40,0,,1.6
Foster NB,1361,2011-09-22 02:04:00,0,,1.6
Foster NB,1361,2011-09-22 02:04:20,0,,1.6
Foster NB,1361,2011-09-22 02:04:40,0,,1.6
Foster NB,1361,2011-09-22 02:05:00,0,,1.6
Foster NB,1361,2011-09-22 02:05:20,0,,1.6
Foster NB,1361,2011-09-22 02:05:40,0,,1.6
Foster NB,1361,2011-09-22 02:06:00,0,,1.6
Foster NB,1361,2011-09-22 02:06:20,0,,1.6
Foster NB,1361,2011-09-22 02:06:40,1,68,1.6
Foster NB,1361,2011-09-22 02:07:00,0,,1.6
Foster NB,1361,2011-09-22 02:07:20,0,,1.6
Foster NB,1361,2011-09-22 02:07:40,0,,1.6
Foster NB,1361,2011-09-22 02:08:00,0,,1.6
Foster NB,1361,2011-09-22 02:08:20,0,,1.6
Foster NB,1361,2011-09-22 02:08:40,1,64,1.6
Foster NB,1361,2011-09-22 02:09:00,0,,1.6
Foster NB,1361,2011-09-22 02:09:20,0,,1.6
Foster NB,1361,2011-09-22 02:09:40,0,,1.6
Foster NB,1361,2011-09-22 02:10:00,1,68,1.6
Foster NB,1361,2011-09-22 02:10:20,0,,1.6
Foster NB,1361,2011-09-22 02:10:40,0,,1.6
Foster NB,1361,2011-09-22 02:11:00,0,,1.6
Foster NB,1361,2011-09-22 02:11:20,0,,1.6
Foster NB,1361,2011-09-22 02:11:40,0,,1.6
Foster NB,1361,2011-09-22 02:12:00,0,,1.6
Foster NB,1361,2011-09-22 02:12:20,0,,1.6
